cbo_2002,nome_ocupacao
131105,Diretor De Serviços Culturais
131115,Gerente De Serviços Culturais
231310,Professor De Educação Artística Do Ensino Fundamental
232105,Professor De Artes No Ensino Médio
234755,Professor De Museologia Do Ensino Superior
234905,Professor De Artes Do Espetáculo No Ensino Superior
234910,Professor De Artes Visuais No Ensino Superior (Artes Plásticas E Multimídia)
234915,Professor De Música No Ensino Superior
261205,Bibliotecário
261305,Arquivista
261310,Museólogo
261505,Autor-Roteirista
261510,Crítico
261515,Escritor De Ficção
261520,Escritor De Não Ficção
261525,Poeta
261610,Editor De Livro
261805,Fotógrafo
261815,Fotógrafo Retratista
261905,Continuista
261910,Assistente De Direção (Tv)
262105,Produtor Cultural
262110,Produtor Cinematográfico
262115,Produtor De Rádio
262120,Produtor De Teatro
262125,Produtor De Televisão
262130,Tecnólogo Em Produção Fonográfica
262135,Tecnólogo Em Produção Audiovisual
262205,Diretor De Cinema
262210,Diretor De Programas De Rádio
262215,Diretor De Programas De Televisão
262220,Diretor Teatral
262235,Diretor Artistíco
262305,Cenógrafo Carnavalesco E Festas Populares
262310,Cenógrafo De Cinema
262315,Cenógrafo De Eventos
262320,Cenógrafo De Teatro
262325,Cenógrafo De Tv
262330,Diretor De Arte
262405,Artista (Artes Visuais)
262415,Conservador-Restaurador De Bens  Culturais
262505,Ator
262605,Compositor
262610,Músico Arranjador
262615,Músico Regente
262620,Musicólogo
262705,Músico Intérprete Cantor
262710,Músico Intérprete Instrumentista
262805,Assistente De Coreografia
262810,Bailarino (Exceto Danças Populares)
262815,Coreógrafo
262820,Dramaturgo De Dança
262825,Ensaiador De Dança
262830,Professor De Dança
352405,Agente De Direitos Autorais
352420,Técnico Em Direitos Autorais
371105,Auxiliar De Biblioteca
371110,Técnico Em Biblioteconomia
371210,Técnico Em Museologia
372105,Diretor De Fotografia
372110,Iluminador (Televisão)
372115,Operador De Câmera De Televisão
373105,Operador De Mídia Audiovisual
373130,Técnico De Sistemas Audiovisuais
373145,Assistente De Operações Audiovisuais
373220,Supervisor Técnico Operacional De Sistemas De Televisão E Produtoras De Vídeo
373225,Supervisor De Operações (Mídias Audiovisuais)
373230,Supervisor Técnico (Mídias Audiovisuais)
374105,Técnico Em Gravação De Áudio
374115,Técnico Em Masterização De Áudio
374120,Projetista De Som
374125,Técnico Em Sonorização
374130,Técnico Em Mixagem De Áudio
374140,Microfonista
374145,Dj (Disc Jockey)
374150,Sonoplasta
374155,Analista Musical
374205,"Cenotécnico (Cinema, Vídeo, Televisão, Teatro E Espetáculos)"
374210,Maquinista De Cinema E Vídeo
374215,Maquinista De Teatro E Espetáculos
374305,Operador De Projetor Cinematográfico
374310,Operador-Mantenedor De Projetor Cinematográfico
374405,Editor De Mídia Audiovisual
374410,Finalizador De Filmes
374415,Finalizador De Vídeo
374420,Montador De Filmes
374425,Diretor De Imagens (Tv)
376105,Dançarino Tradicional
376110,Dançarino Popular
376205,Acrobata
376210,Artista Aéreo
376215,Artista De Circo (Outros)
376220,Contorcionista
376225,Domador De Animais (Circense)
376230,Equilibrista
376235,Mágico
376240,Malabarista
376245,Palhaço
376250,Titeriteiro
376255,Trapezista
376310,Apresentador De Festas Populares
376325,Apresentador De Circo
742105,Afinador De Instrumentos Musicais
742110,Confeccionador De Acordeão
742115,Confeccionador De Instrumentos De Corda
742120,"Confeccionador De Instrumentos De Percussão (Pele, Couro Ou Plástico)"
742125,Confeccionador De Instrumentos De Sopro (Madeira)
742130,Confeccionador De Instrumentos De Sopro (Metal)
742135,Confeccionador De Órgão
742140,Confeccionador De Piano
768710,Restaurador De Livros
791105,Artesão Bordador
791110,Artesão Ceramista
791115,Artesão Com Material Reciclável
791120,Artesão Confeccionador De Biojóias E Ecojóias
791125,Artesão Do Couro
791130,Artesão Escultor
791135,Artesão Moveleiro (Exceto Reciclado)
791140,Artesão Tecelão
791145,Artesão Trançador
791150,Artesão Crocheteiro
791155,Artesão Tricoteiro
791160,Artesão Rendeiro
915205,Restaurador De Instrumentos Musicais (Exceto Cordas Arcadas)
915210,Reparador De Instrumentos Musicais
915215,Luthier (Restauração De Cordas Arcadas)
