nome_municipio,id_municipio,remuneracao_media,quantidade_vinculos
Angra dos Reis,3300100,3127.4472093023255,43
Aperibé,3300159,1681.2266666666667,3
Araruama,3300209,1970.4961904761906,21
Areal,3300225,1554.81,1
Armação dos Búzios,3300233,2401.93215909091,176
Arraial do Cabo,3300258,2101.3011111111114,18
Barra Mansa,3300407,2339.0873652694613,167
Barra do Piraí,3300308,2279.5261111111113,18
Belford Roxo,3300456,2674.24347826087,23
Bom Jardim,3300506,2774.1588888888891,9
Bom Jesus do Itabapoana,3300605,1727.451,10
Cabo Frio,3300704,2426.0308695652179,92
Cachoeiras de Macacu,3300803,1508.3457142857142,7
Cambuci,3300902,2759.6471428571426,7
Campos dos Goytacazes,3301009,2021.1769696969698,396
Cantagalo,3301108,2557.494285714286,7
Carapebus,3300936,1603.865,4
Cardoso Moreira,3301157,2952.5166666666669,3
Carmo,3301207,2754.96,9
Casimiro de Abreu,3301306,3794.3209523809528,42
Comendador Levy Gasparian,3300951,2974.7866666666669,3
Conceição de Macabu,3301405,2936.81,3
Cordeiro,3301504,1596.3042857142855,7
Duas Barras,3301603,1538.755,2
Duque de Caxias,3301702,2514.7561151079112,139
Guapimirim,3301850,1847.3535714285711,14
Iguaba Grande,3301876,3528.5758333333333,12
Itaboraí,3301900,2603.8250943396229,53
Itaguaí,3302007,2503.715,34
Italva,3302056,2655.8563636363638,11
Itaocara,3302106,1975.8700000000001,3
Itaperuna,3302205,2519.109210526316,38
Itatiaia,3302254,4308.5881818181815,22
Japeri,3302270,2835.5146153846154,52
Laje do Muriaé,3302304,3303.07,1
Macaé,3302403,3403.0610322580651,155
Macuco,3302452,706.94,1
Magé,3302502,1658.7112903225805,31
Mangaratiba,3302601,2316.5705882352945,17
Maricá,3302700,2602.5255319148928,47
Mendes,3302809,2824.9225,8
Mesquita,3302858,2060.1110112359543,178
Miguel Pereira,3302908,3193.7253846153844,13
Miracema,3303005,3101.2230769230764,13
Natividade,3303104,1535.4133333333334,3
Nilópolis,3303203,1568.5133333333335,30
Niterói,3303302,5313.4173381294986,834
Nova Friburgo,3303401,2159.2134351145032,131
Nova Iguaçu,3303500,2061.2167114093963,149
Paracambi,3303609,2544.7008510638298,47
Paraty,3303807,2239.2855000000004,20
Paraíba do Sul,3303708,2838.7283333333335,6
Paty do Alferes,3303856,2292.5557142857142,7
Petrópolis,3303906,3112.92668202765,217
Pinheiral,3303955,2200.4021428571427,14
Piraí,3304003,4543.7502857142845,35
Porciúncula,3304102,1804.402,5
Porto Real,3304110,4701.536666666666,21
Quatis,3304128,4150.314,5
Queimados,3304144,2413.0552380952377,21
Quissamã,3304151,6916.03,1
Resende,3304201,4076.727012987013,77
Rio Bonito,3304300,1922.1549999999997,20
Rio Claro,3304409,4714.1337500000009,16
Rio das Flores,3304508,3077.2833333333333,3
Rio das Ostras,3304524,3132.7918,50
Rio de Janeiro,3304557,7522.69587532624,9962
Santa Maria Madalena,3304607,2971.54,4
Santo Antônio de Pádua,3304706,2856.8633333333332,15
Sapucaia,3305406,4356.8325531914888,47
Saquarema,3305505,3974.1027586206897,29
Seropédica,3305554,5288.1261702127649,47
Silva Jardim,3305604,3729.497142857143,14
São Fidélis,3304805,1822.3014285714287,7
São Francisco de Itabapoana,3304755,2516.3635714285715,14
São Gonçalo,3304904,1946.4985875706211,177
São José do Vale do Rio Preto,3305158,2355.5533333333333,3
São João da Barra,3305000,3687.5553846153844,26
São João de Meriti,3305109,2116.5602380952387,42
São Pedro da Aldeia,3305208,3136.6576415094346,106
São Sebastião do Alto,3305307,2317.4733333333334,3
Tanguá,3305752,2039.1671428571431,7
Teresópolis,3305802,3092.9328723404251,94
Trajano de Moraes,3305901,2364.92,1
Três Rios,3306008,2761.869666666666,30
Valença,3306107,2613.1748148148154,27
Varre-Sai,3306156,6568.98,10
Vassouras,3306206,2771.3211764705879,17
Volta Redonda,3306305,2557.8799999999997,111
