nome_municipio,id_municipio,remuneracao_media,quantidade_vinculos
Angra dos Reis,3300100,3520.2031578947363,38
Araruama,3300209,1969.2644444444441,18
Areal,3300225,1554.81,1
Armação dos Búzios,3300233,4250.8604878048773,123
Arraial do Cabo,3300258,2198.130588235294,17
Barra Mansa,3300407,2244.1146861924694,239
Barra do Piraí,3300308,1743.590476190476,21
Belford Roxo,3300456,2394.8211764705875,34
Bom Jardim,3300506,2903.6655555555553,9
Bom Jesus do Itabapoana,3300605,1432.47,7
Cabo Frio,3300704,2343.124215686275,102
Cachoeiras de Macacu,3300803,2667.87,2
Cambuci,3300902,1995.6825,4
Campos dos Goytacazes,3301009,3527.4388359788368,189
Cantagalo,3301108,2140.0366666666669,3
Carapebus,3300936,1917.38,1
Cardoso Moreira,3301157,2301.75,2
Carmo,3301207,2264.162142857143,14
Casimiro de Abreu,3301306,3651.4296875,32
Comendador Levy Gasparian,3300951,2889.4350000000004,2
Conceição de Macabu,3301405,2602.764,10
Cordeiro,3301504,1802.438333333333,6
Duas Barras,3301603,1800.0,1
Duque de Caxias,3301702,2665.39935185185,216
Engenheiro Paulo de Frontin,3301801,2832.19,2
Guapimirim,3301850,2388.6913043478266,23
Iguaba Grande,3301876,3260.115,8
Itaboraí,3301900,2807.5670114942527,87
Itaguaí,3302007,2914.3388000000004,25
Italva,3302056,2494.4233333333332,3
Itaocara,3302106,1914.21,1
Itaperuna,3302205,2508.4092857142864,42
Itatiaia,3302254,3424.9973684210527,19
Japeri,3302270,2886.7327999999998,25
Laje do Muriaé,3302304,2441.385,2
Macaé,3302403,3310.878426966292,178
Macuco,3302452,1216.02,2
Magé,3302502,2126.8220338983047,59
Mangaratiba,3302601,2424.144,5
Maricá,3302700,2224.382,25
Mendes,3302809,2499.105,2
Mesquita,3302858,2203.7402083333336,192
Miguel Pereira,3302908,2003.1370000000006,10
Miracema,3303005,3250.1388888888891,9
Natividade,3303104,1762.6699999999998,4
Nilópolis,3303203,1930.0014285714283,35
Niterói,3303302,4435.9933333333356,732
Nova Friburgo,3303401,2332.4739772727262,88
Nova Iguaçu,3303500,2283.0840625000019,160
Paracambi,3303609,2681.2728,50
Paraty,3303807,3864.502,10
Paraíba do Sul,3303708,2660.0107692307693,13
Paty do Alferes,3303856,2051.3516666666665,6
Petrópolis,3303906,2985.3704545454548,154
Pinheiral,3303955,2221.2200000000003,16
Piraí,3304003,3605.4689999999996,10
Porciúncula,3304102,1909.0,2
Porto Real,3304110,3529.3763636363637,11
Quatis,3304128,7000.0,1
Queimados,3304144,3193.0826666666671,15
Quissamã,3304151,3988.1400000000003,7
Resende,3304201,3416.7787096774186,62
Rio Bonito,3304300,2512.3523076923075,13
Rio Claro,3304409,5150.175,18
Rio das Flores,3304508,2861.59,2
Rio das Ostras,3304524,3353.7311864406784,59
Rio de Janeiro,3304557,6091.827948170434,10303
Santa Maria Madalena,3304607,2103.425,2
Santo Antônio de Pádua,3304706,2083.8572727272726,11
Sapucaia,3305406,4442.067931034484,29
Saquarema,3305505,2560.5215789473691,19
Seropédica,3305554,4206.7832,25
Silva Jardim,3305604,1944.6505263157894,19
São Fidélis,3304805,1761.3437500000002,8
São Francisco de Itabapoana,3304755,2562.2525,8
São Gonçalo,3304904,2037.233999999999,185
São José de Ubá,3305133,1817.94,1
São José do Vale do Rio Preto,3305158,3614.58,1
São João da Barra,3305000,5780.0911111111109,18
São João de Meriti,3305109,1842.1341428571429,70
São Pedro da Aldeia,3305208,4721.017551020409,49
São Sebastião do Alto,3305307,1510.42,2
Tanguá,3305752,3388.2538461538461,13
Teresópolis,3305802,3050.8724999999995,72
Três Rios,3306008,1830.4200000000003,29
Valença,3306107,2843.2652,25
Varre-Sai,3306156,6209.9825,8
Vassouras,3306206,3408.9727272727273,11
Volta Redonda,3306305,2472.7281249999996,128
