nome_municipio,id_municipio,remuneracao_media,quantidade_vinculos
Angra dos Reis,3300100,2427.4497560975606,41
Aperibé,3300159,1681.2266666666667,3
Araruama,3300209,1100.447894736842,19
Areal,3300225,4100.314,5
Armação dos Búzios,3300233,2237.6282921348306,445
Arraial do Cabo,3300258,2166.1716666666666,18
Barra Mansa,3300407,2361.9964347826085,115
Barra do Piraí,3300308,2382.4316666666668,24
Belford Roxo,3300456,2072.4557627118647,59
Bom Jardim,3300506,2178.88,1
Bom Jesus do Itabapoana,3300605,2090.17,9
Cabo Frio,3300704,1471.3463013698624,73
Cachoeiras de Macacu,3300803,1044.536,5
Cambuci,3300902,2320.1485714285714,14
Campos dos Goytacazes,3301009,1861.0584507042272,355
Cantagalo,3301108,2668.332,5
Carapebus,3300936,1549.52,4
Cardoso Moreira,3301157,4514.332,5
Carmo,3301207,1760.638,5
Casimiro de Abreu,3301306,3909.7892307692314,26
Comendador Levy Gasparian,3300951,1251.4779999999998,5
Conceição de Macabu,3301405,668.325,2
Cordeiro,3301504,567.39,2
Duas Barras,3301603,1179.1100000000001,2
Duque de Caxias,3301702,2100.2077647058836,170
Guapimirim,3301850,1656.9651851851852,27
Iguaba Grande,3301876,3515.4585000000006,20
Itaboraí,3301900,1849.4763636363641,99
Itaguaí,3302007,2885.8181081081084,37
Italva,3302056,2852.7577777777778,9
Itaocara,3302106,2006.7,2
Itaperuna,3302205,2400.1383333333333,30
Itatiaia,3302254,3286.4659090909095,22
Japeri,3302270,2822.0170769230767,65
Macaé,3302403,3277.5283582089542,134
Magé,3302502,1889.4735211267607,71
Mangaratiba,3302601,2024.7736363636357,33
Maricá,3302700,2599.655,48
Mendes,3302809,2495.0750000000003,10
Mesquita,3302858,2177.1723350253806,197
Miguel Pereira,3302908,3711.8715384615384,13
Miracema,3303005,2694.6471428571426,7
Natividade,3303104,2172.8775,4
Nilópolis,3303203,1381.8782142857142,28
Niterói,3303302,5738.0370026525161,754
Nova Friburgo,3303401,1974.8319512195117,82
Nova Iguaçu,3303500,1739.420709219859,141
Paracambi,3303609,2015.7694545454547,55
Paraty,3303807,2434.5710526315788,19
Paraíba do Sul,3303708,3222.4366666666665,6
Paty do Alferes,3303856,2436.888,5
Petrópolis,3303906,3239.1450675675678,148
Pinheiral,3303955,1037.2875,4
Piraí,3304003,4704.8662857142863,35
Porciúncula,3304102,3618.728,5
Porto Real,3304110,5059.52375,16
Quatis,3304128,3437.8925000000008,4
Queimados,3304144,2657.457272727273,22
Quissamã,3304151,5012.61,3
Resende,3304201,3596.0644117647071,68
Rio Bonito,3304300,826.07428571428568,7
Rio Claro,3304409,4571.731875,16
Rio das Flores,3304508,2906.1433333333334,3
Rio das Ostras,3304524,2389.911384615385,65
Rio de Janeiro,3304557,6938.3481243854485,8136
Santa Maria Madalena,3304607,3839.655,2
Santo Antônio de Pádua,3304706,2960.7861538461539,13
Sapucaia,3305406,4303.4717241379312,29
Saquarema,3305505,3574.741458333333,48
Seropédica,3305554,5798.4448387096782,62
Silva Jardim,3305604,4386.1230769230779,13
São Fidélis,3304805,2479.44,1
São Francisco de Itabapoana,3304755,2068.7336363636364,11
São Gonçalo,3304904,1990.8043428571423,175
São José do Vale do Rio Preto,3305158,1726.04,2
São João da Barra,3305000,4026.0304545454533,22
São João de Meriti,3305109,1925.9751785714291,56
São Pedro da Aldeia,3305208,3133.42306930693,101
São Sebastião do Alto,3305307,3931.58,1
Tanguá,3305752,2346.6155555555556,9
Teresópolis,3305802,2832.9972580645158,62
Trajano de Moraes,3305901,2364.92,1
Três Rios,3306008,3538.9833333333336,21
Valença,3306107,1935.2310526315789,19
Varre-Sai,3306156,6643.2383333333337,6
Vassouras,3306206,2421.1931578947369,19
Volta Redonda,3306305,2293.7687499999997,64
