nome_municipio,id_municipio,remuneracao_media,quantidade_vinculos
Angra dos Reis,3300100,2527.3190000000004,30
Araruama,3300209,935.92812499999991,16
Areal,3300225,3886.8199999999997,3
Armação dos Búzios,3300233,2810.6051308900551,382
Arraial do Cabo,3300258,2266.8170588235294,17
Barra Mansa,3300407,2226.3830978260853,184
Barra do Piraí,3300308,1954.1588888888891,27
Belford Roxo,3300456,2064.7032352941183,68
Bom Jesus do Itabapoana,3300605,1927.385,6
Cabo Frio,3300704,1492.0855555555554,81
Cambuci,3300902,2881.1366666666668,3
Campos dos Goytacazes,3301009,3490.4945070422546,142
Cantagalo,3301108,1859.31,1
Carapebus,3300936,1700.0,1
Cardoso Moreira,3301157,4431.3766666666661,3
Carmo,3301207,1564.3122222222221,9
Casimiro de Abreu,3301306,3479.0072727272718,11
Comendador Levy Gasparian,3300951,777.97500000000014,4
Conceição de Macabu,3301405,2061.54,9
Cordeiro,3301504,775.28,1
Duas Barras,3301603,1080.71,1
Duque de Caxias,3301702,2414.9265665236053,233
Engenheiro Paulo de Frontin,3301801,2832.19,2
Guapimirim,3301850,2024.6845161290323,31
Iguaba Grande,3301876,3156.190714285714,14
Itaboraí,3301900,2198.5475806451614,124
Itaguaí,3302007,3388.0688461538462,26
Italva,3302056,3943.67,1
Itaperuna,3302205,2293.2968749999995,32
Itatiaia,3302254,2184.7153333333331,15
Japeri,3302270,2912.7869444444441,36
Laje do Muriaé,3302304,1579.7,1
Macaé,3302403,3146.5110563380285,142
Macuco,3302452,1725.1,1
Magé,3302502,2087.2287368421053,95
Mangaratiba,3302601,1977.8274999999999,20
Maricá,3302700,2233.6265384615381,26
Mendes,3302809,1667.7666666666669,3
Mesquita,3302858,2292.7114948453614,194
Miguel Pereira,3302908,2676.7270000000003,10
Miracema,3303005,2599.2933333333335,3
Natividade,3303104,1906.1,1
Nilópolis,3303203,1866.0872413793102,29
Niterói,3303302,4870.1296072013074,611
Nova Friburgo,3303401,2241.8197222222225,36
Nova Iguaçu,3303500,2071.1549999999997,142
Paracambi,3303609,2215.369454545455,55
Paraty,3303807,4587.1942857142858,7
Paraíba do Sul,3303708,2803.11625,8
Paty do Alferes,3303856,1790.4233333333334,3
Petrópolis,3303906,3110.2051851851852,81
Pinheiral,3303955,1480.5066666666667,6
Piraí,3304003,4263.87,9
Porciúncula,3304102,11371.63,1
Porto Real,3304110,3507.2083333333335,6
Queimados,3304144,3249.178571428572,14
Quissamã,3304151,4004.3088888888888,9
Resende,3304201,2669.8918367346942,49
Rio Claro,3304409,5023.5955555555547,18
Rio das Ostras,3304524,2689.6740277777781,72
Rio de Janeiro,3304557,5192.6283853442847,7915
Santo Antônio de Pádua,3304706,2062.1888888888889,9
Sapucaia,3305406,4440.8654545454556,11
Saquarema,3305505,2837.5275675675671,37
Seropédica,3305554,5707.3952777777795,36
Silva Jardim,3305604,2277.1425,16
São Fidélis,3304805,1907.04,2
São Francisco de Itabapoana,3304755,1605.0,5
São Gonçalo,3304904,2039.3083892617442,149
São José de Ubá,3305133,1817.94,1
São João da Barra,3305000,6909.8478571428568,14
São João de Meriti,3305109,1643.126296296296,81
São Pedro da Aldeia,3305208,5057.3876190476194,42
Tanguá,3305752,3392.8446666666659,15
Teresópolis,3305802,2614.324,40
Três Rios,3306008,2637.392142857143,14
Valença,3306107,2257.0993333333336,15
Varre-Sai,3306156,5962.3724999999995,4
Vassouras,3306206,2729.9345454545451,11
Volta Redonda,3306305,2299.8023076923068,78
