nome_municipio,id_municipio,remuneracao_media,quantidade_vinculos
Angra dos Reis,3300100,2953.0779746835433,79
Aperibé,3300159,1681.2266666666667,3
Araruama,3300209,1523.1154054054052,37
Areal,3300225,3676.0633333333335,6
Armação dos Búzios,3300233,2673.5923063380283,568
Arraial do Cabo,3300258,2181.6945714285716,35
Barra Mansa,3300407,2282.4096045197716,354
Barra do Piraí,3300308,2084.3057777777772,45
Belford Roxo,3300456,2190.3097849462374,93
Bom Jardim,3300506,2831.1870000000004,10
Bom Jesus do Itabapoana,3300605,1802.42625,16
Cabo Frio,3300704,1979.4682857142848,175
Cachoeiras de Macacu,3300803,1508.3457142857142,7
Cambuci,3300902,2248.045,18
Campos dos Goytacazes,3301009,2440.0031066176434,544
Cantagalo,3301108,2470.22125,8
Carapebus,3300936,1623.092,5
Cardoso Moreira,3301157,3882.1657142857148,7
Carmo,3301207,2131.6557894736843,19
Casimiro de Abreu,3301306,3767.2460344827591,58
Comendador Levy Gasparian,3300951,1719.4657142857143,7
Conceição de Macabu,3301405,2280.3574999999996,12
Cordeiro,3301504,1493.67625,8
Duas Barras,3301603,1386.0733333333335,3
Duque de Caxias,3301702,2416.4807772020736,386
Engenheiro Paulo de Frontin,3301801,2832.19,2
Guapimirim,3301850,1993.5592000000004,50
Iguaba Grande,3301876,3442.503214285714,28
Itaboraí,3301900,2297.6155376344072,186
Itaguaí,3302007,2897.3183870967737,62
Italva,3302056,2763.1741666666671,12
Itaocara,3302106,1975.8700000000001,3
Itaperuna,3302205,2463.296388888888,72
Itatiaia,3302254,3350.6634146341462,41
Japeri,3302270,2839.9936666666667,90
Laje do Muriaé,3302304,2441.385,2
Macaé,3302403,3296.554999999998,312
Macuco,3302452,1216.02,2
Magé,3302502,1997.19323076923,130
Mangaratiba,3302601,2077.3223684210529,38
Maricá,3302700,2471.1368493150685,73
Mendes,3302809,2495.7466666666669,12
Mesquita,3302858,2190.2855269922866,389
Miguel Pereira,3302908,2968.94347826087,23
Miracema,3303005,3007.11125,16
Natividade,3303104,1967.77375,8
Nilópolis,3303203,1686.3911111111111,63
Niterói,3303302,5096.65344549126,1486
Nova Friburgo,3303401,2159.9642941176467,170
Nova Iguaçu,3303500,2028.4111960132907,301
Paracambi,3303609,2332.6758095238088,105
Paraty,3303807,2927.6506896551723,29
Paraíba do Sul,3303708,2837.6189473684208,19
Paty do Alferes,3303856,2226.5954545454547,11
Petrópolis,3303906,3109.7368211920534,302
Pinheiral,3303955,1984.4335000000005,20
Piraí,3304003,4460.5557777777776,45
Porciúncula,3304102,3130.2342857142858,7
Porto Real,3304110,4436.1303703703707,27
Quatis,3304128,4150.314,5
Queimados,3304144,2874.602702702703,37
Quissamã,3304151,4295.481,10
Resende,3304201,3510.5589230769233,130
Rio Bonito,3304300,1922.1549999999997,20
Rio Claro,3304409,4877.9664705882351,34
Rio das Flores,3304508,2888.3219999999997,5
Rio das Ostras,3304524,2848.5030645161287,124
Rio de Janeiro,3304557,6465.3453923748575,18439
Santa Maria Madalena,3304607,2971.54,4
Santo Antônio de Pádua,3304706,2558.860416666666,24
Sapucaia,3305406,4372.7698275862085,58
Saquarema,3305505,3287.1268656716406,67
Seropédica,3305554,5341.0708045977017,87
Silva Jardim,3305604,2936.4987499999997,32
São Fidélis,3304805,1841.1322222222223,9
São Francisco de Itabapoana,3304755,2276.5310526315793,19
São Gonçalo,3304904,2014.6640277777769,360
São José de Ubá,3305133,1817.94,1
São José do Vale do Rio Preto,3305158,2355.5533333333333,3
São João da Barra,3305000,4815.3577499999992,40
São João de Meriti,3305109,1879.3968253968269,126
São Pedro da Aldeia,3305208,3652.0372666666676,150
São Sebastião do Alto,3305307,2317.4733333333334,3
Tanguá,3305752,2962.1290909090908,22
Teresópolis,3305802,2950.0645522388068,134
Trajano de Moraes,3305901,2364.92,1
Três Rios,3306008,2548.0166,50
Valença,3306107,2451.159545454545,44
Varre-Sai,3306156,6395.6635714285712,14
Vassouras,3306206,2783.379,30
Volta Redonda,3306305,2413.0750000000012,192
