uf;uh_subsidiadas;uh_financiadas;total_producao
AC;2186;350;2536
AL;7619;16492;24111
AM;5569;9501;15070
AP;275;528;803
BA;33269;48211;81480
CE;14560;46485;61045
DF;1178;13380;14558
ES;2359;9987;12346
GO;7248;95498;102746
MA;26703;17231;43934
MG;16638;112078;128716
MS;4184;19856;24040
MT;3412;26741;30153
PA;15063;14334;29397
PB;9807;39375;49182
PE;15889;47663;63552
PI;8932;12185;21117
PR;7096;98816;105912
RJ;7745;51363;59108
RN;7169;27562;34731
RO;1456;7046;8502
RR;1653;1038;2691
RS;22366;82903;105269
SC;2740;41557;44297
SE;5527;19751;25278
SP;17915;409407;427322
TO;4262;4767;9029
