municipio;RMRJ;uh_subsidiadas;uh_financiadas;total_producao
Angra Dos Reis;nao;0;40;40
Aperibe;nao;50;5;55
Araruama;nao;0;266;266
Areal;nao;0;5;5
Armacao Dos Buzios;nao;0;3;3
Arraial Do Cabo;nao;0;3;3
Barra Do Pirai;nao;0;153;153
Barra Mansa;nao;0;284;284
Belford Roxo;sim;288;497;785
Bom Jardim;nao;20;9;29
Bom Jesus Do Itabapoana;nao;100;47;147
Cabo Frio;nao;0;103;103
Cachoeiras De Macacu;sim;0;122;122
Cambuci;nao;50;0;50
Campos Dos Goytacazes;nao;600;2616;3216
Cantagalo;nao;0;18;18
Carmo;nao;50;2;52
Casimiro De Abreu;nao;50;25;75
Comendador Levy Gasparian;nao;100;5;105
Conceicao De Macabu;nao;0;2;2
Cordeiro;nao;0;12;12
Duas Barras;nao;0;12;12
Duque De Caxias;sim;736;2116;2852
Engenheiro Paulo De Frontin;nao;25;0;25
Guapimirim;sim;0;31;31
Iguaba Grande;nao;0;107;107
Itaborai;sim;0;1308;1308
Itaguai;sim;0;142;142
Italva;nao;25;4;29
Itaocara;nao;20;6;26
Itaperuna;nao;0;78;78
Itatiaia;nao;100;8;108
Japeri;sim;122;20;142
Laje Do Muriae;nao;25;0;25
Macae;nao;0;990;990
Mage;sim;496;678;1174
Mangaratiba;nao;50;46;96
Marica;sim;0;917;917
Mendes;nao;25;5;30
Mesquita;sim;0;319;319
Miguel Pereira;nao;0;5;5
Miracema;nao;50;15;65
Natividade;nao;62;1;63
Nilopolis;sim;0;444;444
Niteroi;sim;96;1141;1237
Nova Friburgo;nao;0;345;345
Nova Iguacu;sim;748;4231;4979
Paracambi;sim;0;5;5
Paraiba Do Sul;nao;111;81;192
Paraty;nao;100;4;104
Paty Do Alferes;nao;0;10;10
Petropolis;sim;140;257;397
Pinheiral;nao;0;109;109
Pirai;nao;100;19;119
Porciuncula;nao;50;32;82
Porto Real;nao;0;42;42
Quatis;nao;25;2;27
Queimados;sim;200;227;427
Resende;nao;384;663;1047
Rio Bonito;sim;0;52;52
Rio Claro;nao;50;5;55
Rio Das Flores;nao;25;3;28
Rio Das Ostras;nao;0;583;583
Rio De Janeiro;sim;1152;23475;24627
Santa Maria Madalena;nao;0;1;1
Santo Antonio De Padua;nao;100;20;120
Sao Fidelis;nao;50;43;93
Sao Francisco De Itabapoana;nao;50;6;56
Sao Goncalo;sim;520;5584;6104
Sao Joao Da Barra;nao;0;6;6
Sao Joao De Meriti;sim;0;157;157
Sao Jose De Uba;nao;50;0;50
Sao Jose Do Vale Do Rio Preto;nao;50;0;50
Sao Pedro Da Aldeia;nao;0;775;775
Sapucaia;nao;50;9;59
Saquarema;nao;0;52;52
Seropedica;sim;0;70;70
Silva Jardim;nao;90;3;93
Sumidouro;nao;50;0;50
Tangua;sim;0;32;32
Teresopolis;nao;0;502;502
Trajano De Moraes;nao;25;0;25
Tres Rios;nao;0;276;276
Valenca;nao;0;15;15
Varre-Sai;nao;85;2;87
Vassouras;nao;96;11;107
Volta Redonda;nao;304;1044;1348
